token_pair,one_day_volume,dau_1d,prev_volume_1d,volume_change_1d_pct,seven_day_volume,dau_7d,prev_volume_7d,volume_change_7d_pct,thirty_day_volume,dau_30d,prev_volume_30d,volume_change_30d_pct
CRV-WETH,1.434690133389636e+06,281,1.4874919458373152e+06,-0.03549720897342868,8.508917477302523e+06,841,1.6541093135216108e+07,-0.4855891682764922,5.476574466217816e+07,2103,7.066580015294555e+07,-0.22500354423715715
crv_-_e,2.8999071251334446e+06,46,767169.816922601,2.7800068005360714,8.446141492174145e+06,134,1.621024341657844e+07,-0.47896269814578113,6.145452808554813e+07,391,7.603334553121781e+07,-0.1917424170120714
WETH-XYO,357632.36254163703,104,424244.25418324576,-0.157013067318613,8.257224652754492e+06,729,1.194883684271887e+07,-0.30895159408038064,3.4827696244574346e+07,1914,2.1487314261465527e+07,0.6208492052928605
NPC-WETH,872066.7384419572,161,938409.5802052186,-0.07069710621320928,8.139744237065481e+06,822,8.3035831592663685e+06,-0.019731111143031273,3.8241629578632176e+07,2994,4.191673266459108e+07,-0.08767627752301953
ALMO-WETH,229692.12381671564,228,7.82940008438473e+06,-0.9706628705467711,8.059092208201439e+06,1100,0,Infinity,8.059092208201439e+06,1100,0,Infinity
PENDLE-WETH,1.2028686026887007e+06,247,1.0028160656659226e+06,0.19949075794865,7.870587203735937e+06,1035,7.735227287187518e+06,0.017499151805484413,2.8674226743031345e+07,2828,3.3189651781569537e+07,-0.13604918389187926
AIOZ-WETH,5.136147210133013e+06,234,524747.2877428724,8.787848989606859,7.764432829897885e+06,664,1.2390312046191353e+07,-0.37334646609771327,4.9122956027442925e+07,2767,3.501326240948495e+07,0.4029814032449519
PAXG-WETH,1.0030360648413599e+06,96,737407.9299399196,0.36021871221683543,7.539796949958086e+06,421,1.481580595457327e+07,-0.49109775242225423,3.5810808916181974e+07,946,1.6808255907523412e+07,1.1305487680106643
scrv_-s_e,810842.6226773873,9,1.1605475515538568e+06,-0.30132753148136815,7.475443253468814e+06,60,1.4192114599721005e+07,-0.47326783468787875,5.120484648321579e+07,216,6.398874969878046e+07,-0.19978360689564026
PRIME-WETH,1.4277978265102229e+06,157,1.5844135340199168e+06,-0.0988477465932358,7.460309161668939e+06,768,1.4826836284613244e+07,-0.4968374224640911,6.4054506569231845e+07,3101,8.019294093504256e+07,-0.2012450744122613
ANDY-WETH,1.2440496965875432e+06,353,824979.2798840088,0.5079768994470446,7.220422795126429e+06,1667,2.0334849020912997e+07,-0.6449237076852294,6.125886056508054e+07,5349,4.879250026025571e+07,0.255497468634117
jailstool-WETH,51537.11500975924,2,158259.69049200928,-0.6743509680226413,7.13220098921438e+06,856,0,Infinity,7.13220098921438e+06,856,0,Infinity
Neiro-WETH,1.1163592019697607e+06,213,835396.8779767195,0.3363219703113026,7.092531784481967e+06,757,1.7549891849097397e+07,-0.595864644325615,5.516697302837532e+07,2371,7.271659719851522e+07,-0.2413427586858842
rswETH-WETH,1.861695562143265e+06,82,556450.9503908259,2.3456597761863733,7.040285854777688e+06,481,1.0331676685212031e+07,-0.3185727671042385,3.827704144669475e+07,1596,3.360142405498351e+07,0.13914938200417676
CULT-WETH,955901.1781114795,245,1.2307457952012408e+06,-0.22331550362503666,6.93371409727695e+06,1057,1.7390688138585605e+07,-0.6012973125604636,1.872865126164637e+08,6846,1.1773584149210474e+08,0.5907349048762093
ETH+-WETH,377905.93632377964,35,555718.7345114453,-0.31996905474851056,6.878866736691795e+06,90,6.566514226878783e+06,0.04756747629274245,1.7085174126677424e+07,150,1.0826483253666898e+07,0.5780908468953411
AAVE-UNI,1.4172970988885337e+06,58,1.633950004623776e+06,-0.13259457457214407,6.7631737609782815e+06,142,1.3915324708661336e+07,-0.5139765759997919,4.814678258344721e+07,310,5.442057621837314e+07,-0.11528348413201497
rETH-wstETH,373364.4566702607,16,538139.0543240512,-0.30619334599448755,6.549740332389598e+06,84,1.5572134973108307e+07,-0.579393554981355,3.6873619203199394e+07,198,2.6497962794651765e+07,0.3915643058658761
wstETH-WETH,968992.5001779097,9,906673.8455950161,0.06873326597614182,6.499176644890339e+06,34,1.4258589471397828e+07,-0.5441921756757614,2.9387391580778196e+07,61,2.071691624618254e+07,0.41852152277698895
HEX-WETH,1.5774582600801482e+06,517,1.2828973580091533e+06,0.22960597761936719,6.494117762765571e+06,1534,2.286053239614851e+06,1.8407552589893685,1.6259785646178316e+07,3427,2.094673221119896e+07,-0.22375550122872218
